CODESYS V3.5 SP11 Trace: Trace
C:\Users\hyd\TestStand\Codesys\LLC Stable Version\Stable TestStand LLC.project
Timestamp(ms) gMain.CR2052.X2.Pin02.Aout gMain.CR2052.X4.Pin02.Aout gMain.CR2052.X6.Pin02.Aout gMain.CR2052.X2.Pin05.Aout gMain.CR2052.X4.Pin05.Aout gMain.CR2052.X6.Pin05.Aout gTestStand.PPaddlesA.Pressure gTestStand.PPaddlesB.Pressure gTestStand.PCarriageA.Pressure gTestStand.PCarriageB.Pressure gTestStand.PArmA.Pressure gTestStand.PArmB.Pressure ArmEncoder.In CarriageEncoder.In TestStandMain.ArmTestStandController.OpenLoopParams.udiCycleCount TestStandMain.CarriageTestStandController.OpenLoopParams.udiCycleCount TestStandMain.PaddlesTestStandController.OpenLoopParams.udiCycleCount 
95 920 0 0 0 0 0 -367.5 -367.5 1150.5 706.5 -365.25 -365.25 4261 16678787 0 0 0
195 920 0 0 0 0 0 -367.5 -368.25 1172.25 705.75 -365.25 -365.25 4261 16679552 0 0 0
295 920 0 0 0 0 0 -367.5 -367.5 1235.25 698.25 -365.25 -365.25 4261 16680310 0 0 0
395 920 0 0 0 0 0 -367.5 -366.75 1201.5 708.75 -366 -365.25 4261 16681110 0 0 0
495 920 0 0 0 0 0 -367.5 -367.5 1141.5 709.5 -365.25 -365.25 4261 16681925 0 0 0
595 920 0 0 0 0 0 -367.5 -367.5 1194 708.75 -366 -366 4261 16682677 0 0 0
695 920 0 0 0 0 0 -367.5 -367.5 1218 707.25 -366 -365.25 4261 16683434 0 0 0
795 920 0 0 0 0 0 -367.5 -366.75 1200 707.25 -366 -365.25 4261 16684223 0 0 0
895 920 0 0 0 0 0 -366.75 -367.5 1203 706.5 -366 -365.25 4261 16684999 0 0 0
995 920 0 0 0 0 0 -367.5 -367.5 1203.75 707.25 -364.5 -365.25 4261 16685772 0 0 0
1095 920 0 0 0 0 0 -367.5 -367.5 1179.75 707.25 -365.25 -365.25 4261 16686564 0 0 0
1195 920 0 0 0 0 0 -367.5 -367.5 1188 708.75 -366 -365.25 4261 16687338 0 0 0
1295 920 0 0 0 0 0 -367.5 -368.25 1207.5 707.25 -365.25 -365.25 4261 16688104 0 0 0
1395 920 0 0 0 0 0 -367.5 -367.5 1210.5 709.5 -365.25 -365.25 4261 16688882 0 0 0
1495 920 0 0 0 0 0 -366.75 -367.5 1192.5 709.5 -365.25 -365.25 4261 16689670 0 0 0
1595 920 0 0 0 0 0 -366.75 -367.5 1197.75 708.75 -365.25 -366 4261 16690447 0 0 0
1695 920 0 0 0 0 0 -367.5 -367.5 1195.5 708.75 -365.25 -365.25 4261 16691229 0 0 0
1795 920 0 0 0 0 0 -367.5 -367.5 1200.75 709.5 -365.25 -365.25 4261 16692003 0 0 0
1895 920 0 0 0 0 0 -366.75 -367.5 1207.5 707.25 -365.25 -365.25 4261 16692778 0 0 0
1995 920 0 0 0 0 0 -367.5 -366.75 1208.25 708.75 -365.25 -365.25 4261 16693562 0 0 0
2095 920 0 0 0 0 0 -367.5 -367.5 1196.25 708.75 -365.25 -365.25 4261 16694344 0 0 0
2195 920 0 0 0 0 0 -367.5 -367.5 1216.5 708.75 -365.25 -366 4261 16695107 0 0 0
2295 920 0 0 0 0 0 -366.75 -367.5 1230.75 705.75 -365.25 -365.25 4261 16695889 0 0 0
2395 920 0 0 0 0 0 -366.75 -366.75 1324.5 702 -365.25 -364.5 4261 16696661 0 0 0
2495 920 0 0 0 0 0 -368.25 -367.5 2707.5 423 -365.25 -366 4263 16697070 0 0 0
2595 920 0 0 0 0 0 -366.75 -366.75 2906.25 241.5 -365.25 -365.25 4265 16697077 0 0 0
2695 920 0 0 0 0 0 -366.75 -367.5 2912.25 236.25 -366 -365.25 4264 16697077 0 0 0
2795 0 0 0 759 0 0 -367.5 -366.75 2914.5 231 -364.5 -365.25 4265 16697077 0 0 0
2895 0 0 0 759 0 0 -367.5 -367.5 2917.5 226.5 -365.25 -365.25 4266 16697077 0 0 0
2995 0 0 0 759 0 0 -366.75 -367.5 2293.5 211.5 -365.25 -365.25 4266 16697077 0 0 0
3095 0 0 0 759 0 0 -367.5 -367.5 1994.25 825 -366 -365.25 4266 16697070 0 0 0
3195 0 0 0 759 0 0 -368.25 -367.5 1756.5 964.5 -365.25 -365.25 4266 16697065 0 0 0
3295 0 0 0 759 0 0 -367.5 -367.5 704.25 695.25 -365.25 -366 4266 16697050 0 0 0
3395 0 0 0 759 0 0 -368.25 -368.25 682.5 1014 -366 -365.25 4265 16697035 0 0 0
3495 0 0 0 759 0 0 -367.5 -367.5 707.25 1090.5 -366 -365.25 4265 16696777 0 0 0
3595 0 0 0 759 0 0 -367.5 -367.5 704.25 1066.5 -366 -365.25 4265 16696379 0 0 0
3695 0 0 0 759 0 0 -367.5 -368.25 707.25 1084.5 -365.25 -364.5 4265 16695994 0 0 0
3795 0 0 0 759 0 0 -368.25 -367.5 706.5 1050 -365.25 -365.25 4265 16695579 0 0 0
3895 0 0 0 759 0 0 -367.5 -367.5 704.25 1087.5 -365.25 -366 4265 16695186 0 0 0
3995 0 0 0 759 0 0 -367.5 -367.5 706.5 1077.75 -365.25 -366 4265 16694791 0 0 0
4095 0 0 0 759 0 0 -367.5 -367.5 704.25 1083.75 -365.25 -365.25 4265 16694387 0 0 0
4195 0 0 0 759 0 0 -366.75 -366.75 705 1049.25 -365.25 -366 4265 16693978 0 0 0
4295 0 0 0 759 0 0 -367.5 -367.5 705 1025.25 -365.25 -366 4265 16693568 0 0 0
4395 0 0 0 759 0 0 -367.5 -367.5 705 1037.25 -365.25 -365.25 4265 16693169 0 0 0
4495 0 0 0 759 0 0 -367.5 -366.75 705 1060.5 -365.25 -365.25 4265 16692769 0 0 0
4595 0 0 0 759 0 0 -367.5 -367.5 708 1026.75 -365.25 -365.25 4265 16692365 0 0 0
4695 0 0 0 759 0 0 -366.75 -366.75 705 1053.75 -365.25 -364.5 4265 16691958 0 0 0
4795 0 0 0 759 0 0 -366.75 -366.75 709.5 1057.5 -365.25 -365.25 4265 16691570 0 0 0
4895 0 0 0 759 0 0 -366.75 -367.5 706.5 1053.75 -365.25 -365.25 4265 16691166 0 0 0
4995 0 0 0 759 0 0 -367.5 -366.75 710.25 1038 -365.25 -365.25 4265 16690760 0 0 0
5095 0 0 0 759 0 0 -366.75 -366.75 709.5 1028.25 -364.5 -364.5 4265 16690349 0 0 0
5195 0 0 0 759 0 0 -366.75 -367.5 709.5 1045.5 -365.25 -366 4265 16689956 0 0 0
5295 0 0 0 1400 0 0 -366.75 -367.5 710.25 1046.25 -365.25 -366 4265 16689557 0 0 0
5395 0 0 0 1400 0 0 -366.75 -367.5 709.5 1059 -366 -365.25 4265 16689159 0 0 0
5495 0 0 0 1400 0 0 -367.5 -368.25 669 1207.5 -364.5 -365.25 4265 16688723 0 0 0
5595 0 0 0 1400 0 0 -367.5 -367.5 678.75 1961.25 -364.5 -365.25 4265 16687734 0 0 0
5695 0 0 0 1400 0 0 -366.75 -367.5 783 1239 -364.5 -364.5 4265 16686199 0 0 0
5795 0 0 0 1400 0 0 -366.75 -366.75 705.75 1399.5 -364.5 -365.25 4264 16685016 0 0 0
5895 0 0 0 0 0 0 -367.5 -368.25 700.5 1632 -365.25 -365.25 4263 16683753 0 1 0
5995 0 0 0 0 0 0 -367.5 -367.5 710.25 1353.75 -365.25 -365.25 4264 16682285 0 1 0
6095 0 0 0 0 0 0 -367.5 -367.5 711.75 1401 -365.25 -365.25 4264 16680968 0 1 0
6195 0 0 0 0 0 0 -366.75 -367.5 789.75 823.5 -365.25 -365.25 4265 16679831 0 1 0
6295 0 0 0 0 0 0 -367.5 -367.5 1003.5 745.5 -364.5 -364.5 4265 16679595 0 1 0
6395 1400 0 0 0 0 0 -366.75 -367.5 789.75 921 -365.25 -365.25 4264 16679629 0 1 0
6495 1400 0 0 0 0 0 -367.5 -367.5 817.5 856.5 -365.25 -366 4266 16679626 0 1 0
6595 1400 0 0 0 0 0 -366.75 -367.5 815.25 838.5 -365.25 -366 4266 16679626 0 1 0
6695 1400 0 0 0 0 0 -368.25 -368.25 804 829.5 -364.5 -365.25 4266 16679626 0 1 0
6795 1400 0 0 0 0 0 -368.25 -367.5 798 819.75 -365.25 -366 4266 16679626 0 1 0
6895 1400 0 0 0 0 0 -367.5 -368.25 732.75 735 -365.25 -366 4266 16679626 0 1 0
6995 1400 0 0 0 0 0 -367.5 -368.25 1204.5 630.75 -365.25 -365.25 4266 16679720 0 1 0
7095 1400 0 0 0 0 0 -367.5 -367.5 2328 678 -365.25 -366 4267 16680761 0 1 0
7195 1400 0 0 0 0 0 -367.5 -367.5 1106.25 811.5 -365.25 -366 4264 16682378 0 1 0
7295 1400 0 0 0 0 0 -368.25 -368.25 1403.25 678.75 -366 -366 4265 16683572 0 1 0
7395 1400 0 0 0 0 0 -367.5 -367.5 1716 714 -365.25 -365.25 4265 16684903 0 1 0
7495 1400 0 0 0 0 0 -367.5 -367.5 1304.25 724.5 -365.25 -365.25 4264 16686435 0 1 0
7595 1400 0 0 0 0 0 -368.25 -368.25 1446 708.75 -365.25 -366 4265 16687758 0 1 0
7695 0 0 0 0 0 0 -367.5 -368.25 1491.75 705 -364.5 -365.25 4265 16689083 0 2 0
7795 0 0 0 0 0 0 -368.25 -368.25 1463.25 704.25 -365.25 -365.25 4265 16690462 0 2 0
7895 0 0 0 0 0 0 -367.5 -367.5 1468.5 701.25 -365.25 -366 4265 16691828 0 2 0
7995 0 0 0 0 0 0 -369 -368.25 969.75 737.25 -365.25 -365.25 4265 16693164 0 2 0
8095 0 0 0 0 0 0 -367.5 -368.25 897.75 1311.75 -366 -365.25 4264 16693508 0 2 0
8195 0 0 0 0 0 0 -367.5 -367.5 1144.5 990.75 -365.25 -366 4264 16693463 0 2 0
8295 0 0 0 1400 0 0 -366.75 -367.5 1039.5 1035.75 -366 -365.25 4261 16693472 0 2 0
8395 0 0 0 1400 0 0 -368.25 -368.25 1035 998.25 -365.25 -366 4262 16693465 0 2 0
8495 0 0 0 1400 0 0 -367.5 -368.25 1009.5 984 -365.25 -366 4262 16693465 0 2 0
8595 0 0 0 1400 0 0 -368.25 -368.25 984 972.75 -366 -365.25 4262 16693465 0 2 0
8695 0 0 0 1400 0 0 -367.5 -368.25 966.75 959.25 -364.5 -365.25 4262 16693465 0 2 0
8795 0 0 0 1400 0 0 -368.25 -368.25 723.75 733.5 -365.25 -366 4262 16693465 0 2 0
8895 0 0 0 1400 0 0 -368.25 -368.25 551.25 1642.5 -365.25 -365.25 4261 16693275 0 2 0
8995 0 0 0 1400 0 0 -368.25 -369 802.5 1764 -364.5 -365.25 4261 16691933 0 2 0
9095 0 0 0 1400 0 0 -368.25 -368.25 731.25 1113 -365.25 -366 4264 16690508 0 2 0
9195 0 0 0 1400 0 0 -368.25 -369 613.5 1720.5 -364.5 -365.25 4263 16689425 0 2 0
9295 0 0 0 1400 0 0 -368.25 -368.25 728.25 1488 -365.25 -365.25 4263 16687905 0 2 0
9395 0 0 0 1400 0 0 -368.25 -367.5 718.5 1191.75 -365.25 -366 4265 16686545 0 2 0
9495 0 0 0 1400 0 0 -368.25 -368.25 656.25 1533.75 -366 -366 4263 16685399 0 3 0
9595 0 0 0 0 0 0 -367.5 -368.25 710.25 1498.5 -366 -366 4263 16683965 0 3 0
9695 0 0 0 0 0 0 -368.25 -368.25 707.25 1288.5 -365.25 -366 4265 16682536 0 3 0
9795 0 0 0 0 0 0 -367.5 -367.5 768.75 909 -366 -366 4265 16681341 0 3 0
9895 0 0 0 0 0 0 -368.25 -367.5 956.25 707.25 -365.25 -366 4266 16680991 0 3 0
9995 0 0 0 0 0 0 -367.5 -367.5 779.25 834.75 -365.25 -366 4265 16681024 0 3 0
10095 1400 0 0 0 0 0 -367.5 -368.25 792.75 801 -365.25 -366 4267 16681022 0 3 0
10195 1400 0 0 0 0 0 -367.5 -368.25 783.75 792 -366 -366 4267 16681023 0 3 0
10295 1400 0 0 0 0 0 -367.5 -367.5 778.5 781.5 -366 -366 4267 16681022 0 3 0
10395 1400 0 0 0 0 0 -367.5 -367.5 772.5 774 -366 -366 4267 16681023 0 3 0
10495 1400 0 0 0 0 0 -367.5 -367.5 765.75 765.75 -366 -366 4267 16681023 0 3 0
10595 1400 0 0 0 0 0 -367.5 -367.5 1412.25 591.75 -365.25 -366 4267 16681072 0 3 0
10695 1400 0 0 0 0 0 -367.5 -368.25 2297.25 699.75 -366 -366 4267 16681986 0 3 0
10795 1400 0 0 0 0 0 -367.5 -368.25 1078.5 790.5 -365.25 -365.25 4265 16683628 0 3 0
10895 1400 0 0 0 0 0 -367.5 -367.5 1407.75 675.75 -366 -366 4266 16684842 0 3 0
10995 1400 0 0 0 0 0 -367.5 -367.5 1772.25 699.75 -365.25 -366 4267 16686125 0 3 0
11095 1400 0 0 0 0 0 -367.5 -367.5 1272 733.5 -366 -366 4265 16687683 0 3 0
11195 1400 0 0 0 0 0 -366.75 -367.5 1417.5 708.75 -366 -366.75 4266 16689008 0 3 0
11295 1400 0 0 0 0 0 -367.5 -368.25 1464.75 704.25 -366 -366 4267 16690310 0 3 0
11395 0 0 0 0 0 0 -367.5 -367.5 1449 703.5 -366 -366 4267 16691658 0 4 0
11495 0 0 0 0 0 0 -367.5 -367.5 1457.25 702 -365.25 -365.25 4267 16692993 0 4 0
11595 0 0 0 0 0 0 -367.5 -367.5 834.75 774 -366 -366 4266 16694287 0 4 0
11695 0 0 0 0 0 0 -367.5 -367.5 961.5 1225.5 -366 -365.25 4266 16694552 0 4 0
11795 0 0 0 0 0 0 -367.5 -368.25 1116.75 996 -365.25 -366 4266 16694510 0 4 0
11895 0 0 0 1400 0 0 -366.75 -367.5 1037.25 1025.25 -365.25 -365.25 4264 16694519 0 4 0
11995 0 0 0 1400 0 0 -368.25 -368.25 1029.75 988.5 -366 -366 4264 16694515 0 4 0
12095 0 0 0 1400 0 0 -367.5 -367.5 1004.25 975.75 -365.25 -365.25 4264 16694515 0 4 0
12195 0 0 0 1400 0 0 -367.5 -368.25 980.25 964.5 -365.25 -364.5 4264 16694515 0 4 0
12295 0 0 0 1400 0 0 -367.5 -366.75 962.25 950.25 -365.25 -365.25 4264 16694515 0 4 0
12395 0 0 0 1400 0 0 -367.5 -367.5 720 731.25 -365.25 -365.25 4264 16694515 0 4 0
12495 0 0 0 1400 0 0 -367.5 -368.25 581.25 1454.25 -364.5 -365.25 4264 16694353 0 4 0
12595 0 0 0 1400 0 0 -368.25 -367.5 714.75 2143.5 -366 -365.25 4263 16693019 0 4 0
12695 0 0 0 1400 0 0 -367.5 -368.25 748.5 1060.5 -365.25 -365.25 4266 16691573 0 4 0
12795 0 0 0 1400 0 0 -367.5 -367.5 620.25 1795.5 -365.25 -366 4264 16690505 0 4 0
12895 0 0 0 1400 0 0 -367.5 -367.5 713.25 1596.75 -365.25 -365.25 4265 16688984 0 4 0
12995 0 0 0 1400 0 0 -367.5 -367.5 724.5 1176.75 -365.25 -364.5 4266 16687609 0 4 0
13095 0 0 0 1400 0 0 -367.5 -367.5 662.25 1537.5 -365.25 -365.25 4265 16686451 0 4 0
13195 0 0 0 0 0 0 -367.5 -367.5 707.25 1547.25 -366 -366.75 4265 16685065 0 5 0
13295 0 0 0 0 0 0 -367.5 -367.5 705.75 1285.5 -365.25 -366 4265 16683618 0 5 0
13395 0 0 0 0 0 0 -366.75 -367.5 704.25 1473.75 -366 -365.25 4265 16682364 0 5 0
13495 0 0 0 0 0 0 -367.5 -368.25 746.25 941.25 -365.25 -365.25 4265 16681093 0 5 0
13595 0 0 0 0 0 0 -368.25 -368.25 936 804.75 -365.25 -365.25 4266 16680722 0 5 0
